asian_piece_count,total_piece_count,piece_ratio,asian_auction_count,total_auction_count,auction_ratio,year
12989,126493,0.10268552410014783,50,570,0.08771929824561403,1998
9505,127549,0.07452038040282558,38,501,0.07584830339321358,1999
7798,103052,0.07567053526375034,30,424,0.07075471698113207,2000
11482,149960,0.07656708455588157,62,679,0.09131075110456553,2001
7066,99538,0.07098796439550724,43,479,0.08977035490605428,2002
6520,77176,0.08448222245257593,38,338,0.11242603550295859,2003
5870,98575,0.059548567080902864,30,391,0.07672634271099744,2004
6129,97356,0.06295451744114385,31,401,0.0773067331670823,2005
6232,98287,0.06340614730330563,32,389,0.08226221079691516,2006
6948,99123,0.0700947307890197,36,421,0.0855106888361045,2007
5723,72659,0.07876519082288498,41,341,0.12023460410557185,2008
3453,57789,0.05975185588952915,30,264,0.11363636363636363,2009
704,7168,0.09821428571428571,5,32,0.15625,2010
2860,32142,0.08898015058179329,27,222,0.12162162162162163,2017
3897,29403,0.13253749617385982,35,225,0.15555555555555556,2018
1951,19306,0.10105666632135088,10,83,0.12048192771084337,2011
247,10271,0.02404829130561776,2,44,0.045454545454545456,2012
3854,54439,0.07079483458549937,28,278,0.10071942446043165,2013
6315,64230,0.09831854273703877,43,354,0.12146892655367232,2014
6804,61709,0.11025944351715308,54,344,0.1569767441860465,2015
3922,45777,0.08567621294536558,37,290,0.12758620689655173,2016
4501,40896,0.11005966353677621,41,289,0.14186851211072665,2017
3897,29403,0.13253749617385982,35,225,0.15555555555555556,2018
4202,37528,0.11196972926881262,40,273,0.14652014652014653,2019
